Owner / Assignee,Pat. No.,Priority Date,Status,URL
Small Pharma,WO2022043227,28/8/2020,Published,https://patents.google.com/patent/WO2022043227A1/
Small Pharma,"US11,406,619",28/8/2020,Granted 2022-08-09 …,https://patents.google.com/patent/US11406619B2/
Small Pharma,US20220313660A1,28/8/2020,Published,https://patents.google.com/patent/US20220313660A1/
Synbionik Gmbh,EP 3957726A1,21/8/2020,Published,https://patents.google.com/patent/EP3957726A1/
Matthias Liechti,WO2022031566A1,5/8/2020,Published,https://patents.google.com/patent/WO2022031566A1/
Gregory Ellis,US20220031966A1,29/7/2020,Published,https://patents.google.com/patent/US20220031966A1/
Diamond Therapeutics,WO2022/023812A1,29/7/2020,Pending,https://patents.google.com/patent/WO2022023812A1/
University of Zurich,WO2021259962A1,22/6/2020,Published,https://patents.google.com/patent/WO2021259962A1/
Psilo Scientiﬁc,WO2021253116A1,17/6/2020,Published,https://patents.google.com/patent/WO2021253116A1/
Psilo Scientiﬁc,US20210393716A1,17/6/2020,Published,https://patents.google.com/patent/US20210393716A1/
Beckley Psytech,WO2021250434A1,12/6/2020,Published,https://patents.google.com/patent/WO2021250434A1/
Beckley Psytech,WO2021250435A1,12/6/2020,Published,https://patents.google.com/patent/WO2021250435A1/
Beckley Psytech,US20220259147,12/6/2020,Published,https://patents.google.com/patent/US20220259147A1/
Beckley Psytech,US20220267267,12/6/2020,Published,https://patents.google.com/patent/US20220267267A1/
Small Pharma,US20210378969A1,2/6/2020,Published,https://patents.google.com/patent/US20210378969A1/
Small Pharma,US20210403426A1,2/6/2020,Published,https://patents.google.com/patent/US20210403426A1/
Small Pharma,WO2021116503A2,2/6/2020,Published,https://patents.google.com/patent/WO2021116503A2/
Psilera,WO2021226416A1,8/5/2020,Published,https://patents.google.com/patent/WO2021226416A1/
The Regents of the University of …,WO2021202730A1,1/4/2020,Published,https://patents.google.com/patent/WO2021202730A1/
Gligamesh Pharmaceuticals,WO2021168082A1,18/2/2020,Published,https://patents.google.com/patent/WO2021168082A1/
"Yale University, U.S. Dep't of Vete…",US20210236523A1,5/2/2020,Pending in US,https://patents.google.com/patent/US20210236523A1/
Seelos Therapeutics,WO2021150985,22/1/2020,Published,https://patents.google.com/patent/WO2021150985A1/
Synbionik Gmbh,WO2021110992A1,4/12/2019,Published,https://patents.google.com/patent/WO2021110992A1/
Turtle Bear Holdings,US20220160737,19/11/2019,Published,https://patents.google.com/patent/US20220160737A1/
Small Pharma,US20210395201A1,7/11/2019,Published,https://patents.google.com/patent/US20210395201A1/
Small Pharma,US20220281818,7/11/2019,Published,https://patents.google.com/patent/US20220281818A1/
Empyrean Neuroscience,WO2021067626A1,1/10/2019,Published,Not find it
Empyrean Neuroscience,US20220306997,1/10/2019,Published,https://patents.google.com/patent/US20220306997A1/
Danmarks Tekniske Universitet,WO2021052989A1,16/9/2019,Published,https://patents.google.com/patent/WO2021052989A1/
University of Maryland,WO2021030571A1,13/8/2019,Published,https://patents.google.com/patent/WO2021030571A1/
University of Maryland,US20220273680,13/8/2019,Published,https://patents.google.com/patent/US20220273680A1/
Applied Biology,US20210030787A1,31/7/2019,Pending in US,https://patents.google.com/patent/US20210030787A1/
CaaMTech,US20210023052A1,23/7/2019,Pending in US,https://patents.google.com/patent/US20210023052A1/
CaaMTech,US20220273620,23/7/2019,Published,https://patents.google.com/patent/US20220273620A1/
Concept Matrix Solutions,US20210015833A1,18/7/2019,Pending in US,https://patents.google.com/patent/US20210015833A1/
Concept Matrix Solutions,US20210015738A1,17/7/2019,Pending in US,https://patents.google.com/patent/US20210015738A1/
GH Research Limited,WO2020254584A1,19/6/2019,Published,https://patents.google.com/patent/WO2020254584A1/
Small Pharma,US20220168275,3/6/2019,Published,https://patents.google.com/patent/US20220168275A1/
Small Pharma,WO2020245133A1,3/6/2019,Published,https://patents.google.com/patent/WO2020245133A1/
"Karl Dresdner, Michael Cary, Chas…",US20200345585A1,30/4/2019,Pending in US,https://patents.google.com/patent/US20200345585A1/
The Regents Of The University Of …,WO2020185581A2,8/3/2019,Published,https://patents.google.com/patent/WO2020185581A2/
Abormentis,WO2020181194A1,7/3/2019,Published,https://patents.google.com/patent/WO2020181194A1/
Abormentis,US20220143051,7/3/2019,Published,https://patents.google.com/patent/US20220143051A1/
GH Research Ireland Limited,US20220031662A1,22/2/2019,Published,https://patents.google.com/patent/US20220031662A1/
GH Research Ireland Limited,WO2020169850A1,22/2/2019,Published,https://patents.google.com/patent/WO2020169850A1/
GH Research Limited,WO2020169851A1,22/2/2019,Published,https://patents.google.com/patent/WO2020169851A1/
GH Research Ireland Limited,US20220071958A1,22/2/2019,Published,https://patents.google.com/patent/US20220071958A1/
University of Columbia; The Rese…,US20220135564,1/2/2019,Published,https://patents.google.com/patent/US20220135564A1/
University of North Carolina at Ch…,US20200187851A1,17/12/2018,Pending in US,https://patents.google.com/patent/US20200187851A1/
Palo Alto Investors,"US11,045,454B2",6/12/2018,Granted 2021-6-9,https://patents.google.com/patent/US11045454B2/
Neurolign,WO2020097320A1,8/11/2018,Published,https://patents.google.com/patent/WO2020097320A1/
Rejoy,US20200060997A1,27/8/2018,Pending in US,https://patents.google.com/patent/US20200060997A1/
"Yale University, U.S. Dep't of Vete…",US20210251969A1,20/8/2018,Pending in US,https://patents.google.com/patent/US20210251969A1/
Applied Biology,WO2020023084A1,26/7/2018,Published,https://patents.google.com/patent/WO2020023084A1/
Robert Petcavich,WO2019246532A1,21/6/2018,Published,https://patents.google.com/patent/WO2019246532A1/
Anavex Life Sciences,WO2019222754A1,18/5/2018,Published,https://patents.google.com/patent/WO2019222754A1/
New Atlas Biotechnologies,US20210108238A1,8/3/2018,Pending in US,https://patents.google.com/patent/US20210108238A1/
Akili Interactive,WO2019161050A1,18/2/2018,Published,https://patents.google.com/patent/WO2019161050A1/
Consejo Superior De Investigacio…,WO2019081764A1,26/10/2017,Published,https://patents.google.com/patent/WO2019081764A1/
Eleusis Beneﬁt Corp,WO2019079742A1,19/10/2017,Published,https://patents.google.com/patent/WO2019079742A1/
GW Research,US20200237683A1,29/9/2017,Pending in US,https://patents.google.com/patent/US20200237683A1/
"Bar-Ilan University, Ramot at Tel A…",US20200061076A1,11/5/2017,Pending in US,https://patents.google.com/patent/US20200061076A1/
Eleusis PBC,US20200147038A1,20/4/2017,Pending in US,https://patents.google.com/patent/US20200147038A1/
Eleusis PBC,WO2018195455A1,20/4/2017,Published,https://patents.google.com/patent/WO2018195455A1/
The Regents Of The University Of …,US20200030309A1,29/9/2016,Pending in US,https://patents.google.com/patent/US20200030309A1/
Paul Stamets,US20180021326A1,23/7/2016,Abandoned,https://patents.google.com/patent/US20180021326A1/
Paul Stamets,US20200375967,23/7/2016,Pending in US,https://patents.google.com/patent/US20200375967A1/
Turtle Bear Holdings,US20220313674A1,23/7/2016,Published,https://patents.google.com/patent/US20220313674A1/
Philip Morris Products,"US10,750,785B2",27/3/2015,Granted 2020-08-25 …,https://patents.google.com/patent/US10750785B2/
Teva Pharmaceuticals,WO2016138135A1,25/2/2015,Published,https://patents.google.com/patent/WO2016138135A1/
Philip Morris Products,"US10,721,963B2",21/5/2013,Granted 2020-07-28 …,https://patents.google.com/patent/US10721963B2/
ALS Mountain,US20140350064A1,15/3/2013,Abandoned,https://patents.google.com/patent/US20140350064A1/
"Harvard College, NIH",US20140221499A1,16/6/2011,Abandoned,https://patents.google.com/patent/US20140221499A1/
Syqe Medical,"US11,071,712B2",22/12/2010,Granted 2021-07-27 …,https://patents.google.com/patent/US11071712B2/
Syqe Medical,"US9,775,379B2",22/12/2010,Granted 2017-10-03 …,https://patents.google.com/patent/US9775379B2/
McMaster University,US20130287705A1,3/11/2010,Abandoned,https://patents.google.com/patent/US20130287705A1/
EaglePharma Pty Ltd,US20130281401A1,7/10/2010,Abandoned,https://patents.google.com/patent/US20130281401A1/
Emory University,US20120108510A1,20/5/2010,Abandoned,https://patents.google.com/patent/US20120108510A1/
Philip Morris Products,"US9,974,743B2",16/9/2009,Granted 2018-05-22 …,https://patents.google.com/patent/US9974743B2/
LTS Lohmann Therapie Systeme …,"US10,881,607B2",19/6/2008,Granted 2021-01-05 …,https://patents.google.com/patent/US10881607B2/
Fred Hutchinson Cancer Researc…,WO2009055001A2,23/10/2007,Published,https://patents.google.com/patent/WO2009055001A2/
Mark T. Hamann et al.,"US8,268,856B2",9/10/2007,Granted 2012-09-18 …,https://patents.google.com/patent/US8268856B2/
Chelsea Therapeutics,US20130143868A1,7/5/2007,Abandoned,https://patents.google.com/patent/US20130143868A1/
Philip Morris Products (originally ﬁ…,"US10,668,058B2",30/3/2007,Granted 2020-06-02 …,https://patents.google.com/patent/US10668058B2/
Chelsea Therapeutics,US20130116286A1,12/3/2007,Abandoned,https://patents.google.com/patent/US20130116286A1/
Chelsea Therapeutics,"US8,008,285B2",9/3/2007,Granted 2011-08-30 …,https://patents.google.com/patent/US8008285B2/
Chien-Hung Chen,US20120183600A1,16/1/2007,Abandoned,https://patents.google.com/patent/US20120183600A1/
Lundbeck NA Ltd,US20160106694A1,28/6/2006,Abandoned,https://patents.google.com/patent/US20160106694A1/
Bioniqs Limited,WO2007110637A1,28/3/2006,Published,https://patents.google.com/patent/WO2007110637A1/
PLT Patent and License Trading,US20100143322A1,24/6/2005,Abandoned,https://patents.google.com/patent/US20100143322A1/
Sigma Tau Industrie Farmaceutich…,"US7,098,233B2",21/6/2001,Granted 2006-08-29 …,https://patents.google.com/patent/US7098233B2/
Psychiatric Genomics,"US7,132,287B2",18/6/2001,Granted 2006-11-07 …,https://patents.google.com/patent/US7132287B2/
Virginia Commonwealth University,"US6,518,297B2",11/12/1998,Granted 2003-02-11 …,https://patents.google.com/patent/US6518297B2/
Alcon Laboratories,WO1998018458A1,31/10/1996,Published,https://patents.google.com/patent/WO1998018458A1/
Nosrat E. Naftchi,"US4,742,054A",23/11/1982,Granted 1988-05-03 …,https://patents.google.com/patent/US4742054A/
