Owner / Assignee,Pat. No.,Priority Date,Status,URL
Institute Of Science A…,WO2021074448A1,18/10/2019,Published,https://patents.google.com/patent/WO2021074448A1/
University of Maryland,WO2021030571A1,13/8/2019,Published,https://patents.google.com/patent/WO2021030571A1/
University of Maryland,US20220273680,13/8/2019,Published,https://patents.google.com/patent/US20220273680A1/
Concept Matrix Soluti…,US20210015833A1,18/7/2019,Pending in US,https://patents.google.com/patent/US20210015833A1/
Concept Matrix Soluti…,US20210015738A1,17/7/2019,Pending in US,https://patents.google.com/patent/US20210015738A1/
Canopy Growth Corp,US20220259221,12/7/2019,Published,https://patents.google.com/patent/US20220259221A1/
Canopy Growth Corp,US20220267239,4/7/2019,Published,https://patents.google.com/patent/US20220267239A1/
"Karl Dresdner, Micha…",US20200345585A1,30/4/2019,Pending in US,https://patents.google.com/patent/US20200345585A1/
The Regents Of The …,WO2020185581A2,8/3/2019,Published,https://patents.google.com/patent/WO2020185581A2/
Contera Pharma,WO2020127954A1,20/12/2018,Published,https://patents.google.com/patent/WO2020127954A1/
Palo Alto Investors,"US11,045,454B2",6/12/2018,Granted 2021-6-9,https://patents.google.com/patent/US11045454B2/
Douglas Metcalf,WO2020061573A1,23/9/2018,Published,https://patents.google.com/patent/WO2020061573A1/
Alpvision,WO2020049182A1,8/9/2018,Published,https://patents.google.com/patent/WO2020049182A1/
Rejoy,US20200060997A1,27/8/2018,Pending in US,https://patents.google.com/patent/US20200060997A1/
Applied Biology,WO2020023084A1,26/7/2018,Published,https://patents.google.com/patent/WO2020023084A1/
Leon Rosenberg,WO2020014302A1,11/7/2018,Published,https://patents.google.com/patent/WO2020014302A1/
Helium 3 Resources Pty,WO2020006606A1,5/7/2018,Published,https://patents.google.com/patent/WO2020006606A1/
Robert Petcavich,WO2019246532A1,21/6/2018,Published,https://patents.google.com/patent/WO2019246532A1/
Akili Interactive,WO2019161050A1,18/2/2018,Published,https://patents.google.com/patent/WO2019161050A1/
Eleusis Beneﬁt Corp,WO2019079742A1,19/10/2017,Published,https://patents.google.com/patent/WO2019079742A1/
Rhodes Pharmaceuti…,WO2019074829A1,9/10/2017,Published,https://patents.google.com/patent/WO2019074829A1/
GW Research,US20200237683A1,29/9/2017,Published,https://patents.google.com/patent/US20200237683A1/
Syneurx International …,"US10,226,442B2",10/7/2017,Granted 2019-03-12 (…,https://patents.google.com/patent/US10226442B2/
Syneurx International …,US20190151272A1,10/7/2017,Pending in US,https://patents.google.com/patent/US20190151272A1/
Eleusis PBC,US20200147038A1,20/4/2017,Pending in US,https://patents.google.com/patent/US20200147038A1/
Eleusis PBC,WO2018195455A1,20/4/2017,Published,https://patents.google.com/patent/WO2018195455A1/
CaaMTech,US20210085671A1,9/2/2017,Pending in US,https://patents.google.com/patent/US20210085671A1/
CaaMTech,US202117388252,9/2/2017,Published,Not find it
CaaMTech,US202017095430,9/2/2017,Pending in US,Not find it
Insectergy,"US10,738,268B2",21/8/2016,Granted 2020-08-11 (…,https://patents.google.com/patent/US10738268B2/
Mamood Valadi,US20180042292A1,15/8/2016,Abandoned,https://patents.google.com/patent/US20180042292A1/
Stanford University,"US10,641,782B2",25/5/2016,Granted 2020-05-05 (…,https://patents.google.com/patent/US10641782B2/
Gruenenthal GmbH,US20170071862A1,10/9/2015,Pending in US,https://patents.google.com/patent/US20170071862A1/
University of South Fl…,"US10,821,107",30/6/2015,Granted 2020-11-03 (…,https://patents.google.com/patent/US10821107B2/
Melior Pharmaceutica…,"US11,351,169",15/3/2013,Granted 2022-06-07 (…,https://patents.google.com/patent/US11351169B2/
Mclean Hospital,US20170312308A11,11/12/2012,Pending,https://patents.google.com/patent/US20170312308A1/
GlyTech,"US10,202,469B2",30/11/2012,Granted 2019-02-12 (…,https://patents.google.com/patent/US10202469B2/
SipNose,"US10,549,052B2",28/2/2012,Granted 2020-02-04 (…,https://patents.google.com/patent/US10549052B2/
SipNose,WO2013128447A1,28/2/2012,Published,https://patents.google.com/patent/WO2013128447A1/
Tokyo Metropolitan In…,US20170357750A1,30/9/2011,Abandoned,https://patents.google.com/patent/US20170357750A1/
Gosforth Centre (Hol…,US20140142140A1,8/7/2011,Abandoned,https://patents.google.com/patent/US20140142140A1/
Christian Terreaux et al.,US20130295179A1,12/10/2010,Abandoned,https://patents.google.com/patent/US20130295179A1/
Emory University,US20120108510A1,20/5/2010,Abandoned,https://patents.google.com/patent/US20120108510A1/
Auspex Pharmaceuti…,US20100172916A1,10/11/2008,Abandoned,https://patents.google.com/patent/US20100172916A1/
Univ. South Florida; U…,US20190167653A1,24/9/2008,Pending,https://patents.google.com/patent/US20190167653A1/
Gosforth Centre (Hol…,"US10,028,971B2",6/8/2008,Granted 2018-07-24 (…,https://patents.google.com/patent/US10028971B2/
Oron Zachar,US20110144209A1,30/6/2008,Abandoned,https://patents.google.com/patent/US20110144209A1/
Daniel Schwartz,US20090264475A1,24/1/2008,Abandoned,https://patents.google.com/patent/US20090264475A1/
Pisgah Labs,US20080293695A1,22/5/2007,Abandoned,https://patents.google.com/patent/US20080293695A1/
Pisgah Labs,"US10,183,001B1",22/5/2007,Granted 2019-01-22 (…,https://patents.google.com/patent/US10183001B1/
Pisgah Labs,"US9,421,266B2",22/5/2007,Expired,https://patents.google.com/patent/US9421266B2/
Auspex Pharmaceuti…,US20080045588A1,2/8/2006,Abandoned,https://patents.google.com/patent/US20080045588A1/
Stargate International…,WO2007069925A2,18/12/2005,Published,https://patents.google.com/patent/WO2007069925A2/
Duke University,"US8,877,802B2",28/7/2005,Granted 2014-11-04 (…,https://patents.google.com/patent/US8877802B2/
Shire,US20060100136A1,8/11/2004,Abandoned,https://patents.google.com/patent/US20060100136A1/
Randal J. Kirk,US20090239783A1,8/11/2004,Abandoned,https://patents.google.com/patent/US20090239783A1/
"Mayo Foundation, NI…",US20080033029A1,6/5/2004,Abandoned,https://patents.google.com/patent/US20080033029A1/
Lohmann Therapie S…,"US8,980,308B2",20/8/2003,Granted 2015-03-17 (…,https://patents.google.com/patent/US8980308B2/
Agouron Pharmaceuti…,US20040224960A1,21/2/2003,Abandoned,https://patents.google.com/patent/US20040224960A1/
Pﬁzer,US20020013372A1,14/3/2000,Abandoned,https://patents.google.com/patent/US20020013372A1/
Pﬁzer,US20030144220A1,7/4/1999,Abandoned,https://patents.google.com/patent/US20030144220A1/
University of Minnesota,"US5,028,611A",29/6/1989,Granted 1991-07-02 (…,https://patents.google.com/patent/US5028611A/
Yale University,"US5,059,600A",31/3/1989,Granted 1991-10-22 (…,https://patents.google.com/patent/US5059600A/
Thomas Hosick,"US4,120,976A",13/12/1977,Granted 1978-10-17 (…,https://patents.google.com/patent/US4120976A/
Merck,DE274350,24/12/1912,Granted 1914-05-16 (…,https://patents.google.com/patent/DE274350C/
Merck,DE279194,24/12/1912,Granted 1914-10-15 (…,https://patents.google.com/patent/DE279194C/
