Owner / Assignee,Pat. No.,Priority Date,Status,URL
Wesana Health,WO2022115796,11/30/20,Published,https://patents.google.com/patent/WO2022115796A1/
New York University,US20220151993,11/16/20,Published,https://patents.google.com/patent/US20220151993A1/
Cave; Mason; et al.,US20220125091,10/24/20,Published,https://patents.google.com/patent/US20220125091A1/
Hazen; Kevin; et al.,US20220125755,10/24/20,Published,https://patents.google.com/patent/US20220125755A1/
Michael Roth et al.,US20220241238,10/24/20,Published,https://patents.google.com/patent/US20220241238A1/
Compass Pathfinder,WO2022084480,10/21/20,Published,https://patents.google.com/patent/WO2022084480A1/
Goodcap Pharmaceuticals,WO2022079574,10/12/20,Published,https://patents.google.com/patent/WO2022079574A1/
Lennham Pharmaceuticals,"US11,324.762",10/8/20,Granted 2022-05-10 (ex¶,https://patents.google.com/patent/US11324762B2/
Lennham Pharmaceuticals,"US11,000,534B1",10/8/20,Granted 2021-05-11 (ex¶,https://patents.google.com/patent/US11000534B1/
Lennham Pharmaceuticals,US20220110955,10/8/20,Published,https://patents.google.com/patent/US20220110955A1/
Mydecine Innovations Gr,WO2022061196,9/18/20,Published,https://patents.google.com/patent/WO2022061196A1/
Universitatsspital Basel,US20220082578A1,9/12/20,Published,https://patents.google.com/patent/US20220082578A1/
Yale University,US20220062310,9/3/20,Published,https://patents.google.com/patent/US20220062310A1/
Enveric Biosciences,WO2022047583,9/2/20,Published,https://patents.google.com/patent/WO2022047583A1/
Enveric Biosciences,WO2022047579,9/1/20,Published,https://patents.google.com/patent/WO2022047579A1/
Enveric Biosciences,WO2022047580,9/1/20,Published,https://patents.google.com/patent/WO2022047580A1/
Enveric Biosciences,WO2022040802,8/26/20,Published,https://patents.google.com/patent/WO2022040802A1/
Synbionik Gmbh,EP 3957726A1,8/21/20,Published,https://patents.google.com/patent/EP3957726A1/
Compass Pathfinder,WO2022038299,8/21/20,Published,https://patents.google.com/patent/WO2022038299A1/
Silo Pharma,WO2022031552A1,8/3/20,Published,https://patents.google.com/patent/WO2022031552A1/
Silo Pharma,WO2022031551A1,8/3/20,Published,https://patents.google.com/patent/WO2022031551A1/
Eleusis Therapeutics US,WO2022011350A1,7/10/20,Published,https://patents.google.com/patent/WO2022011350A1/
Psilo Scientific,WO2021253116A1,6/17/20,Published,https://patents.google.com/patent/WO2021253116A1/
Psilo Scientific,WO2021253123A1,6/17/20,Published,https://patents.google.com/patent/WO2021253123A1/
Psilo Scientific,WO2021253124A1,6/17/20,Published,https://patents.google.com/patent/WO2021253124A1/
Psilo Scientific,US20210393716A1,6/17/20,Published,https://patents.google.com/patent/US20210393716A1/
Psilo Scientific,US20220202886,6/17/20,Published,https://patents.google.com/patent/US20220202886A1/
Psilo Scientific,CA3088384C,6/17/20,Granted 2021-08-03 (ex¶,https://patents.google.com/patent/CA3088384C/
Psilo Scientific,US20210393717A1,6/17/20,Published,https://patents.google.com/patent/US20210393717A1/
Psilo Scientific,US20220305402,6/17/20,Published,https://patents.google.com/patent/US20220305402A1/
Neonmind Biosciences,WO2021243460A1,6/3/20,Published,https://patents.google.com/patent/WO2021243460A1/
CaaMTech,WO2021236759A1,5/20/20,Published,"Sorry, we couldn't find this patent number."
Psilera Inc,WO2021226416,5/8/20,Published,https://patents.google.com/patent/WO2021226416A1/
Revive Therapeutics,WO2021207824A1,4/17/20,Published,https://patents.google.com/patent/WO2021207824A1/
CaaMTech,"US11,358,934",3/23/20,Granted 2022-06-14 (ex¶,https://patents.google.com/patent/US11358934B2/
Orthogonal Thinker,WO2021188870A1,3/20/20,Published,https://patents.google.com/patent/WO2021188870A1/
CaaMTech,WO2021188812A1,3/19/20,Published,https://patents.google.com/patent/WO2021188812A1/
CaaMTech,WO2021188782A1,3/19/20,Published,https://patents.google.com/patent/WO2021188782A1/
Bright Minds Biosciences,WO2021179091A1,3/12/20,Published,https://patents.google.com/patent/WO2021179091A1/
Eleusis Health Solutions,WO2021183490A1,3/9/20,Published,"Sorry, we couldn't find this patent number."
Cure Pharmaceutical,US20210275618A1,3/5/20,Pending in US,https://patents.google.com/patent/US20210275618A1/
Alte Verde,US20220071946,3/3/20,Published,https://patents.google.com/patent/US20220071946A1/
Neonmind Biosciences,WO2021159213A1,2/12/20,Published,https://patents.google.com/patent/WO2021159213A1/
"Yale University, U.S. Dep‚",US20210236523A1,2/5/20,Pending in US,https://patents.google.com/patent/US20210236523A1/
Mindset Pharma,WO2021155470,2/4/20,Published,https://patents.google.com/patent/WO2021155470A1/
Mindset Pharma,WO2021155467,2/4/20,Published,https://patents.google.com/patent/WO2021155467A1/
Mindset Pharma,US20220024956A1,2/4/20,Published,https://patents.google.com/patent/US20220024956A1/
Mindset Pharma,WO2021155468,2/4/20,Published,https://patents.google.com/patent/WO2021155468A1/
Mindset Pharma,US20220017549A1,2/4/20,Published,https://patents.google.com/patent/US20220017549A1/
Mindset Pharma,"US11,427,604",2/4/20,Granted 2022-08-30 (e¶,https://patents.google.com/patent/US11427604B2/
Mindset Pharma,US20220289774,2/4/20,Published,https://patents.google.com/patent/US20220289774A1/
Mindset Pharma,"US11,453,689",2/4/20,Granted 2022-09-27,https://patents.google.com/patent/US11453689B2/
Neonmind Biosciences,WO2021108911A1,12/4/19,Pending in US,https://patents.google.com/patent/WO2021108911A1/
Turtle Bear Holdings,US20220160737,11/19/19,Published,https://patents.google.com/patent/US20220160737A1/
Paul Stamets,US20220125809,11/19/19,Published,https://patents.google.com/patent/US20220125809A1/
Paul Stamets,US20210145851A1,11/19/19,Pending in US,https://patents.google.com/patent/US20210145851A1/
CB Therapeutics,US20210147888A1,11/15/19,Pending in US,https://patents.google.com/patent/US20210147888A1/
CB Therapeutics,"US11,441,164",11/15/19,Granted 2022-09-13 (ex¶,https://patents.google.com/patent/US11441164B2/
Miami University,WO2021086513A1,10/28/19,Published,https://patents.google.com/patent/WO2021086513A1/
Esolate,WO2021081138A1,10/21/19,Published,https://patents.google.com/patent/WO2021081138A1/
Institute Of Science And‚,WO2021074448A1,10/18/19,Published,https://patents.google.com/patent/WO2021074448A1/
Tassili Life Sciences (Ch,WO2021072530A1,10/15/19,Published,https://patents.google.com/patent/WO2021072530A1/
Pure Laboratories,US20210100741A1,10/4/19,Pending in US,https://patents.google.com/patent/US20210100741A1/
Intima Bioscience,WO2021067626A1,10/1/19,Published,"Sorry, we couldn't find this patent number."
Empyrean Neuroscience,US20220306997,10/1/19,Published,https://patents.google.com/patent/US20220306997A1/
Danmarks Tekniske Univ¶,WO2021052989A1,9/16/19,Published,https://patents.google.com/patent/WO2021052989A1/
University of Maryland,WO2021030571A1,8/13/19,Published,https://patents.google.com/patent/WO2021030571A1/
University of Maryland,US20220273680,8/13/19,Published,https://patents.google.com/patent/US20220273680A1/
Tassili Life Sciences (Ch,WO2021016710,7/30/19,Published,https://patents.google.com/patent/WO2021016710A1/
Concept Matrix Solutions,US20210015833A1,7/18/19,Pending in US,https://patents.google.com/patent/US20210015833A1/
Concept Matrix Solutions,US20210015738A1,7/17/19,Pending in US,https://patents.google.com/patent/US20210015738A1/
Canopy Growth Corp,US20220259221,7/12/19,Published,https://patents.google.com/patent/US20220259221A1/
Silo Wellness,WO2021003467A1,7/4/19,Published,https://patents.google.com/patent/WO2021003467A1/
Canopy Growth Corp,US20220267239,7/4/19,Published,https://patents.google.com/patent/US20220267239A1/
"Karl Dresdner, Michael C‚",US20200345585A1,4/30/19,Pending in US,https://patents.google.com/patent/US20200345585A1/
Compass Pathfinder Ltd,US20220169668,4/17/19,Published,https://patents.google.com/patent/US20220169668A1/
Compass Pathfinder Ltd,WO2020212952A1,4/17/19,Published,https://patents.google.com/patent/WO2020212952A1/
Compass Pathfinder Ltd,US20220088041A1,4/17/19,Published,https://patents.google.com/patent/US20220088041A1/
Compass Pathfinder Ltd,WO2020212948A1,4/17/19,Published,https://patents.google.com/patent/WO2020212948A1/
Compass Pathfinder Ltd,WO2020212951A1,4/17/19,Published,https://patents.google.com/patent/WO2020212951A1/
The Regents Of The Uni¶,WO2020185581A2,3/8/19,Published,https://patents.google.com/patent/WO2020185581A2/
"University Of Padova, In‚",WO2020181194A1,3/7/19,Published,https://patents.google.com/patent/WO2020181194A1/
Diamond Therapeutics,US20220096504,1/30/19,Published,https://patents.google.com/patent/US20220096504A1/
Diamond Therapeutics,WO2020157569A1,1/30/19,Published,https://patents.google.com/patent/WO2020157569A1/
Apollo Neuroscience,"US10,974,020",1/4/19,Granted 2021-04-13 (ex¶,https://patents.google.com/patent/US10974020B2/
Palo Alto Investors,US20200179349A1,12/6/18,Published,https://patents.google.com/patent/US20200179349A1/
"Yale University, U.S. Dep",US20210251969A1,8/20/18,Pending in US,https://patents.google.com/patent/US20210251969A1/
Mcmaster University,"US11,400,106",8/1/18,Granted 2022-08-02 (e¶,https://patents.google.com/patent/US11400106B2/
Applied Biology,WO2020023084A1,7/26/18,Published,https://patents.google.com/patent/WO2020023084A1/
Robert Petcavich,WO2019246532A1,6/21/18,Published,https://patents.google.com/patent/WO2019246532A1/
VTT Technical Research,US20210010015A1,3/19/18,Pending in US,https://patents.google.com/patent/US20210010015A1/
New Atlas Biotechnologi,US20210277433A1,3/8/18,Pending in US,https://patents.google.com/patent/US20210277433A1/
New Atlas Biotechnologi,US20210108238A1,3/8/18,Pending in US,https://patents.google.com/patent/US20210108238A1/
Akili Interactive,WO2019161050A1,2/18/18,Published,https://patents.google.com/patent/WO2019161050A1/
CaaMTech,US20190142851A1,11/16/17,Pending in US,https://patents.google.com/patent/US20190142851A1/
Consejo Superior De Inv,WO2019081764A1,10/26/17,Published,https://patents.google.com/patent/WO2019081764A1/
Eleusis PBC,WO2019079742A1,10/19/17,Published,https://patents.google.com/patent/WO2019079742A1/
Compass Pathways,"US10,947,257",10/9/17,Granted 2021-03-23 (ex¶,https://patents.google.com/patent/US10947257B2/
Compass Pathways,"US10,947,257",10/9/17,Granted 2021-03-16 (ex¶,https://patents.google.com/patent/US10947257B2/
Compass Pathways,US20210155642,10/9/17,"Published, allowed",https://patents.google.com/patent/US20210155642A1/
Compass Pathfinder Ltd,"US11,149,044",10/9/17,Granted 2021-10-19 (ex¶,https://patents.google.com/patent/US11149044B2/
Compass Pathfinder,"US11,180,517B2",10/9/17,Granted 2021-11-23 (ex¶,https://patents.google.com/patent/US11180517B2/
Compass Pathways,US20200199161A1,10/9/17,Pending in US,https://patents.google.com/patent/US20200199161A1/
Compass Pathfinder,US20220073548A1,10/9/17,Published,https://patents.google.com/patent/US20220073548A1
Compass Pathways,"US10,519,175B2",10/9/17,Granted 2019-12-31 (ex¶,https://patents.google.com/patent/US10519175B2/
Compass Pathfinder Lim¶,"US11,447,510",10/9/17,Granted 2022-09-20 (e¶,https://patents.google.com/patent/US11447510B2/
GW Research Limited,"US11,419,829",9/29/17,Published,https://patents.google.com/patent/US11419829B2/
Sensory Design & Techn¶,US20200211703A1,7/29/17,Pending in US,https://patents.google.com/patent/US20200211703A1/
Timothy Foster and Char,US20200330405A1,5/1/17,Pending in US,https://patents.google.com/patent/US20200330405A1/
Eleusis PBC,US20200147038A1,4/20/17,Pending in US,https://patents.google.com/patent/US20200147038A1/
CaaMTech,US20210346346A1,2/9/17,Published,https://patents.google.com/patent/US20210346346A1/
CaaMTech,"US10,933,073B2",2/9/17,Granted 2021-03-02 (ex¶,https://patents.google.com/patent/US10933073B2/
CaaMTech,US20210085671A1,2/9/17,Pending in US,https://patents.google.com/patent/US20210085671A1/
CaaMTech,US20210361679A1,2/9/17,Published,https://patents.google.com/patent/US20210361679A1/
Procare Beheer,"US10,729,706B2",1/18/17,Granted 2020-08-04 (e¶,https://patents.google.com/patent/US10729706B2/
Joseph Rustick,"US10,596,378B2",10/18/16,Granted 2020-03-24 (e¶,https://patents.google.com/patent/US10596378B2/
Insectergy,"US11,180,781B2",8/21/16,Granted 2021-11-23 (ex¶,https://patents.google.com/patent/US11180781B2/
Insectergy,"US10,738,268B2",8/21/16,Granted 2020-08-11 (ex¶,https://patents.google.com/patent/US10738268B2/
Paul Stamets,US20220016104A1,7/23/16,Published,https://patents.google.com/patent/US20220016104A1/
Paul Stamets,US20180021326A1,7/23/16,Abandoned,https://patents.google.com/patent/US20180021326A1/
Paul Stamets,US20190105313A1,7/23/16,Pending in US,https://patents.google.com/patent/US20190105313A1/
Paul Stamets,US20200375967,7/23/16,Pending in US,https://patents.google.com/patent/US20200375967A1/
Paul Stamets,US20210251976A1,7/23/16,Pending in US,https://patents.google.com/patent/US20210251976A1/
Paul Stamets,US20190192498A1,7/23/16,Pending in US,https://patents.google.com/patent/US20190192498A1/
Paul Stamets,US20210069170A1,7/23/16,Pending in US,https://patents.google.com/patent/US20210069170A1/
Turtle Bear Holdings,US20220313674A1,7/23/16,Published,https://patents.google.com/patent/US20220313674A1/
CTT Pharma,US20220079881,3/3/16,Published,https://patents.google.com/patent/US20220079881A1/
Syqe Medical,"US10,118,006B2",6/30/14,Granted 2018-11-06 (ex¶,https://patents.google.com/patent/US10118006B2/
Paul Stamets,US20200376055A1,3/10/14,Pending in US,https://patents.google.com/patent/US20200376055A1/
Syqe Medical,"US11,071,712B2",12/22/10,Granted 2021-07-27 (ex¶,https://patents.google.com/patent/US11071712B2/
Syqe Medical,"US9,775,379B2",12/22/10,Granted 2017-10-03 (ex¶,https://patents.google.com/patent/US9775379B2/
Emory University,US20120108510A1,5/20/10,Abandoned,https://patents.google.com/patent/US20120108510A1/
Galenea Corp,US20120159656A1,4/24/09,Abandoned,https://patents.google.com/patent/US20120159656A1/
Pisgah Labs,US20080293695A1,5/22/07,Abandoned,https://patents.google.com/patent/US20080293695A1/
Insectergy,US20220151980,7/3/02,Published,https://patents.google.com/patent/US20220151980A1/
Koninklijke DSM (formerl‚,"US7,229,784B2",9/19/00,Granted 2007-06-12 (ex¶,https://patents.google.com/patent/US7229784B2/
Sandoz,"US3,192,111A",2/16/59,Granted 1965-06-29 (ex¶,https://patents.google.com/patent/US3192111A/
Sandoz,"US3,075,992A",9/12/58,Granted 1963-01-29 (ex¶,https://patents.google.com/patent/US3075992A/
Sandoz,"US3,183,172A",2/21/58,Granted 1965-05-11 (ex¶,https://patents.google.com/patent/US3183172A/
